WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
TUBB6	"ubenimex,0.83522"	"KUC111774N,0.82286"	"SB-431542,0.81541"	"BRD-K60895275,0.76255"	"T-0156,0.75974"	"BRD-K26304855,0.75115"	"idarubicin,0.7337"	"AT-7519,0.73233"	"daunorubicin,0.71535"	"diclofenac,0.70926"	"vesamicol,0.69791"	"belinostat,0.69128"	"WZ-3105,0.68892"	"STK-249718,0.68857"	"ER-27319,0.68254"	"BRD-K06217810,0.68157"	"bisindolylmaleimide-ix,0.68053"	"pitavastatin,0.67332"	"LFM-A13,0.67093"	"W-7,0.67077"
UGCG	"BRD-K73008154,0.9957"	"NNC-55-0396,0.99475"	"IKK-16,0.99238"	"BRD-K80786583,0.99171"	"RS-17053,0.98692"	"penfluridol,0.98619"	"GR-127935,0.98283"	"perhexiline,0.97995"	"CGP-71683,0.979"	"rhodomyrtoxin-b,0.97821"	"IKK-2-inhibitor-V,0.97664"	"tetrindole,0.97511"	"lylamine,0.97407"	"malonoben,0.97093"	"suloctidil,0.96938"	"selamectin,0.96702"	"niguldipine,0.96677"	"BRD-K18163752,0.96398"	"cucurbitacin-i,0.96393"	"KUC111774N,0.9635"
VDAC1	"selamectin,0.97333"	"COL-3,0.96167"	"IKK-2-inhibitor-V,0.94033"	"penfluridol,0.93563"	"KUC111774N,0.92061"	"cucurbitacin-i,0.91876"	"FCCP,0.916"	"tosedostat,0.9014"	"tigecycline,0.90012"	"CCCP,0.89704"	"niclosamide,0.89241"	"AG-879,0.88564"	"CD-437,0.88114"	"quiflapon,0.87687"	"rottlerin,0.8631"	"cucurbitacin-i,0.86305"	"BRD-K77547920,0.84879"	"cyclosporin-a,0.84736"	"BRD-A36275421,0.84131"	"importazole,0.83731"
ZNF238	"etoposide,0.97741"	"strophanthidin,0.96992"	"oxetane,0.96311"	"cymarin,0.95455"	"BRD-K30351863,0.95169"	"ellipticine,0.95002"	"NSC-3852,0.9444"	"15-delta-prostaglandin-j2,0.94055"	"amsacrine,0.94032"	"bufalin,0.93982"	"vincristine,0.93963"	"BRD-K60870698,0.93959"	"digitoxin,0.93895"	"NSC-632839,0.93534"	"BRD-K77480336,0.93322"	"SB-218078,0.93177"	"avicin-g,0.93091"	"BRD-K44366801,0.93059"	"proscillaridin,0.93045"	"BRD-K40329609,0.93045"
ZRANB2	"BRD-K88622704,0.82319"	"NVP-AUY922,0.81712"	"pifithrin-mu,0.81605"	"staurosporine,0.80278"	"VU-0410183-2,0.78402"	"danusertib,0.78176"	"BRD-K92317137,0.77153"	"oxetane,0.76556"	"aminopurvalanol-a,0.76146"	"tanespimycin,0.75713"	"BRD-K90826279,0.71282"	"geldanamycin,0.70827"	"CP466722,0.69803"	"VU-0418939-2,0.68859"	"sirolimus,0.68817"	"JLK-6,0.6854"	"cucurbitacin-i,0.68377"	"parthenolide,0.67593"	"JAK3-inhibitor-VI,0.67323"	"staurosporine,0.66523"
CFLAR	"BRD-K10436544,0.84424"	"genistein,0.72431"	"necrostatin-1,0.71466"	"BRD-K40758391,0.71134"	"BMS-641988,0.70216"	"glibenclamide,0.66817"	"alvespimycin,0.66241"	"PP-1,0.66214"	"erastin,0.66188"	"nilotinib,0.65295"	"estradiol,0.64583"	"BRD-K64024097,0.64298"	"orantinib,0.6428"	"ziprasidone,0.63552"	"tretinoin,0.63334"	"BRD-K88622704,0.626"	"elesclomol,0.62311"	"NFKB-activation-inhibitor-II,0.62234"	"fluoropyruvate,0.61504"	"BRD-K76236182,0.60461"
CRK	"KF-38789,0.98917"	"LY-2183240,0.98532"	"vinblastine,0.98438"	"SA-792574,0.98223"	"vincristine,0.9799"	"podophyllotoxin,0.97772"	"vindesine,0.97754"	"PX-12,0.97375"	"ABT-751,0.97284"	"BRD-K16827616,0.97002"	"prostratin,0.96942"	"CYT-997,0.96935"	"mebendazole,0.96813"	"NPI-2358,0.96794"	"BRD-K66884694,0.9649"	"SB-225002,0.9634"	"CMPD-1,0.96137"	"BRD-K26767475,0.96088"	"BRD-K16410418,0.96009"	"vinblastine,0.95905"
CRY1	"KUC111774N,0.91665"	"oxetane,0.84709"	"COL-3,0.84504"	"diclofenac,0.83983"	"everolimus,0.78931"	"BRD-K55896799,0.77174"	"BRD-K26304855,0.76045"	"staurosporine,0.73851"	"dactinomycin,0.73779"	"maprotiline,0.73706"	"BRD-K81814927,0.72832"	"A-443644,0.72595"	"mocetinostat,0.71721"	"ouabain,0.70457"	"PJ-34,0.69594"	"rottlerin,0.6943"	"BRD-K06765193,0.6841"	"alvocidib,0.67351"	"ER-27319,0.6727"	"ZM-447439,0.67009"
FBXW11	"barasertib,0.85337"	"THZ-2-98-01,0.83575"	"dephostatin,0.79116"	"estriol,0.77867"	"T-5345967,0.7745"	"RO-28-1675,0.76589"	"BL-050,0.76249"	"SID-26681509,0.7346"	"serdemetan,0.73374"	"BRD-K66037923,0.73053"	"BRD-K77480336,0.72515"	"parthenolide,0.71938"	"LFM-A13,0.7148"	"parthenolide,0.71323"	"JNJ-26854165,0.68504"	"sulforaphane,0.68428"	"pifithrin-mu,0.6733"	"KIN001-220,0.66036"	"KU-C104123,0.65872"	"SA-425500,0.65655"
G2E3	"verapamil,0.96669"	"dexamethasone,0.78409"	"apigenin,0.77089"	"BRD-K34711351,0.75353"	"sirolimus,0.73618"	"dacinostat,0.72749"	"SKF-81297,0.72531"	"fludarabine,0.7095"	"KU-C104493,0.70922"	"SA-792728,0.70467"	"PD-98059,0.69252"	"COL-3,0.68987"	"APHA-compound-8,0.6896"	"tacedinaline,0.68217"	"KM-00927,0.68127"	"CHEMBL-1222381,0.67334"	"PP-30,0.66126"	"BRD-K10010115,0.65764"	"calpeptin,0.65435"	"H-8,0.65344"
HSF1	"dactinomycin,0.95597"	"fludarabine,0.93996"	"K784-3188,0.91221"	"staurosporine,0.90474"	"staurosporine,0.9022"	"SCH-23390,0.88793"	"BRD-K26304855,0.88457"	"oxetane,0.88384"	"BRD-K60895275,0.88325"	"HSP90-inhibitor,0.88313"	"avicin-g,0.8814"	"BRD-K62459624,0.87281"	"aminopurvalanol-a,0.87181"	"daunorubicin,0.86658"	"lestaurtinib,0.86382"	"BRD-A18411371,0.86269"	"dactinomycin,0.86087"	"5-iodotubercidin,0.85989"	"K784-3131,0.85917"	"BRD-A18725729,0.85666"
ID2	"remacemide,0.9019"	"tretinoin,0.84545"	"BRD-K26304855,0.8269"	"KUC111774N,0.80863"	"AR-A014418,0.78629"	"colforsin,0.77941"	"AMG-9810,0.77178"	"indirubin,0.7492"	"mycophenolate-mofetil,0.7427"	"cymarin,0.73428"	"forskolin,0.73244"	"DG-041,0.72422"	"BRD-K83670234,0.71954"	"PI-828,0.71897"	"tigecycline,0.71772"	"ouabain,0.70249"	"CAM-9-021,0.69623"	"gemcitabine,0.68994"	"doxorubicin,0.68848"	"BRD-A93942655,0.68327"
ITGB2	"cortisone,0.88494"	"COL-3,0.88004"	"BRD-K55896799,0.87911"	"KUC111774N,0.87242"	"BRD-K05649647,0.86887"	"oxetane,0.84852"	"BRD-K83670234,0.82524"	"KU-0060648,0.774"	"tigecycline,0.76278"	"PP-110,0.75297"	"CAY-10594,0.75077"	"fludrocortisone,0.74546"	"XMD-16144,0.74118"	"PSB-36,0.73423"	"gelsemine,0.72433"	"saracatinib,0.71443"	"alvocidib,0.71243"	"BRD-K81814927,0.7101"	"dorsomorphin,0.70859"	"NVP-TAE684,0.70362"
PDHA1	"KI-8751,0.79335"	"estriol,0.78689"	"BRD-K21773564,0.7837"	"evodiamine,0.74721"	"BRD-K05331696,0.73453"	"YK-4279,0.72539"	"SB-225002,0.72315"	"FL-HDAC-025,0.72105"	"thiazolopyrimidine,0.7039"	"ABT-751,0.70198"	"artesunate,0.7008"	"tosyl-phenylalanyl-chloromethyl-ketone,0.69889"	"capsaicin,0.69792"	"avrainvillamide-analog-4,0.68505"	"methylene-blue,0.67333"	"kinetin-riboside,0.67029"	"angiogenesis-inhibitor,0.66829"	"BRD-K58618158,0.66642"	"DC-45-A2,0.66507"	"HA-1004,0.65916"
PTGFR	"amodiaquine,0.83327"	"BRD-K68313733,0.83093"	"pepstatin,0.82901"	"BRD-K21064560,0.82346"	"lylamine,0.82066"	"EMF-bca1-16,0.79841"	"pifithrin-mu,0.78695"	"SA-792987,0.76873"	"BRD-K37061750,0.75075"	"pitavastatin,0.74472"	"crizotinib,0.73748"	"oxetane,0.73694"	"trifluoperazine,0.73655"	"JAK3-Inhibitor-II,0.73555"	"chlorambucil,0.73053"	"AVA,0.72947"	"BRD-K56411643,0.72842"	"thiothixene,0.72748"	"ingenol,0.72632"	"FCCP,0.72585"
TAP1	"diclofenac,0.93337"	"minoxidil,0.93232"	"mitomycin-c,0.76079"	"hydroxyl,0.75839"	"clobetasol,0.72394"	"5-iodotubercidin,0.71945"	"rottlerin,0.71883"	"RS-39604,0.70884"	"atomoxetine,0.70558"	"triciribine,0.70364"	"delcorine,0.67698"	"SKF-86002,0.67696"	"H-89,0.67654"	"pidorubicine,0.66801"	"LFM-A13,0.65973"	"PD-0325901,0.65875"	"pregnenolone,0.65693"	"lovastatin,0.65361"	"NVP-TAE684,0.64792"	"everolimus,0.64218"
TYRO3	"cytochalasin-b,0.85522"	"orantinib,0.81895"	"clomifene,0.7908"	"R-96544,0.76837"	"BRD-K40758391,0.75667"	"BRD-K09299610,0.75015"	"BRD-K50776152,0.74932"	"BRD-K45205755,0.70137"	"wortmannin,0.70064"	"necrostatin-1,0.70029"	"raloxifene,0.69993"	"blebbistatin,0.68626"	"fostamatinib,0.68491"	"BRD-K88622704,0.67344"	"arecaidine,0.67334"	"tosyl-phenylalanyl-chloromethyl-ketone,0.6624"	"AC-55649,0.64774"	"fenoterol,0.64594"	"kinetin-riboside,0.6399"	"procarbazine,0.63643"
ZBED1	"elvitegravir,0.80566"	"berbamine,0.77522"	"AS-605240,0.77509"	"NNC-05-2090,0.75955"	"PD-98059,0.74411"	"cediranib,0.74029"	"BRD-K55896799,0.73146"	"GDC-0879,0.71304"	"KUC111774N,0.705"	"CAY-10594,0.70345"	"amodiaquine,0.70149"	"AZ-628,0.69676"	"BRD-A47816767,0.69645"	"selumetinib,0.68471"	"calpeptin,0.68379"	"VAMA-37,0.67393"	"graveoline,0.66978"	"AZD-7545,0.66061"	"PAC-1,0.66014"	"W-7,0.65914"
AGPAT1	"penfluridol,0.98952"	"phorbol-12-myristate-13-acetate,0.95834"	"IKK-2-inhibitor-V,0.94336"	"CGP-71683,0.93803"	"niclosamide,0.93213"	"mibefradil,0.9018"	"CCCP,0.89542"	"ispinesib,0.89206"	"RS-I-002-6,0.89199"	"reserpine,0.88858"	"RS-17053,0.88718"	"T-98475,0.88639"	"CGK-733,0.8812"	"rhodomyrtoxin-b,0.87339"	"DG-041,0.8719"	"paroxetine,0.87075"	"FCCP,0.85959"	"BRD-K21064560,0.85884"	"thiothixene,0.85831"	"SID-26681509,0.85531"
EIF4A2	"BRD-K10436544,0.79657"	"flecainide,0.79481"	"YK-4279,0.79126"	"diethylstilbestrol,0.77299"	"evodiamine,0.76756"	"tunicamycin,0.76566"	"BRD-K55844427,0.70671"	"BRD-K68548958,0.70596"	"thiotepa,0.6901"	"genistein,0.67595"	"fexaramine,0.65447"	"carbinoxamine,0.64862"	"nicergoline,0.64357"	"chlorambucil,0.64315"	"BRD-K05331696,0.64076"	"cercosporin,0.63095"	"quercetin,0.62424"	"MD-049,0.62362"	"KU-C103871,0.61814"	"GW-843682X,0.6172"
LIPA	"daunorubicin,0.74175"	"hydroxyl,0.72926"	"BRD-K19499941,0.72625"	"BRD-K56411643,0.72091"	"curcumin,0.71829"	"diclofenac,0.7098"	"tretinoin,0.70043"	"mitomycin-c,0.69829"	"bisindolylmaleimide-ix,0.69593"	"staurosporine,0.68652"	"daunorubicin,0.6859"	"doxorubicin,0.68457"	"BRD-K48950795,0.68039"	"camptothecin,0.67817"	"thioridazine,0.67387"	"SA-792728,0.67234"	"BRD-K85266146,0.67011"	"BRD-K59019422,0.65489"	"proscillaridin,0.64864"	"avicin-g,0.64345"
LPAR2	"BRD-K88742110,0.83806"	"altrenogest,0.81608"	"crizotinib,0.814"	"BRD-K90999434,0.80339"	"budesonide,0.79756"	"HLI-373,0.78198"	"tosyl-phenylalanyl-chloromethyl-ketone,0.76053"	"L-690488,0.74208"	"dexamethasone,0.72178"	"XAV-939,0.72024"	"fluorometholone,0.71322"	"fumonisin-b1,0.69446"	"TW-37,0.6832"	"chlortalidone,0.68"	"raloxifene,0.67236"	"SKF-81297,0.65374"	"NCH-51,0.65114"	"pepstatin,0.65045"	"L-690330,0.64978"	"elvitegravir,0.64714"
NFE2L2	"CA-074-Me,0.99698"	"15-delta-prostaglandin-j2,0.99477"	"BRD-K06765193,0.99364"	"BRD-K42455570,0.99089"	"cerulenin,0.99028"	"BRD-K66037923,0.98708"	"isoliquiritigenin,0.97895"	"BRD-K66884694,0.97451"	"SA-792709,0.97438"	"BRD-K42489623,0.97423"	"BRD-K07259155,0.97404"	"BRD-K05331696,0.973"	"MDM2-inhibitor,0.97127"	"AG-957,0.97013"	"BRD-K39345836,0.96905"	"BRD-K00910650,0.96694"	"pifithrin-mu,0.96622"	"FU-JMBII227B,0.96564"	"BRD-K89224880,0.96513"	"EMF-bca1-16,0.96498"
PLAT	"avicin-g,0.92156"	"fasudil,0.91585"	"BRD-U86222656,0.89886"	"BRD-A18725729,0.89005"	"oxetane,0.88492"	"GR-127935,0.88377"	"RS-17053,0.88085"	"H-89,0.8746"	"BRD-A84524947,0.86573"	"AM-404,0.85693"	"FIT,0.84939"	"BRD-K05331696,0.84551"	"SKF-81297,0.84212"	"BRD-K42499654,0.83463"	"KUC111774N,0.83347"	"rottlerin,0.83067"	"BRD-K55896799,0.83023"	"BRD-A85891951,0.82291"	"BRD-A37735495,0.81418"	"mevastatin,0.81316"
PSME1	"PIK-75,0.89108"	"BRD-K55896799,0.847"	"RO-90-7501,0.78991"	"triptolide,0.78423"	"COL-3,0.76904"	"SB-218078,0.75633"	"oxetane,0.74974"	"A-443644,0.74819"	"selamectin,0.7412"	"staurosporine,0.73318"	"selumetinib,0.73086"	"loperamide,0.72796"	"celastrol,0.71868"	"BG-FA-0953,0.69985"	"mitoxantrone,0.69837"	"AT-7519,0.6935"	"BRD-K19181733,0.69319"	"BRD-K05649647,0.68624"	"alvocidib,0.68212"	"pregnenolone,0.67282"
SERPINA12	"oxetane,0.93839"	"KUC111774N,0.92153"	"COL-3,0.90042"	"pifithrin-mu,0.85525"	"brefeldin-a,0.84943"	"brefeldin-a,0.82867"	"staurosporine,0.82612"	"camptothecin,0.8212"	"BRD-K05649647,0.79816"	"rhamnetin,0.77585"	"rottlerin,0.77398"	"niguldipine,0.75597"	"tyrphostin-AG-1478,0.75434"	"tretinoin,0.74712"	"BRD-K56411643,0.74087"	"BG-FA-0953,0.73767"	"AG-879,0.73331"	"auranofin,0.72941"	"BRD-K62459624,0.72419"	"lovastatin,0.71643"
TIRAP	"phorbol-12-myristate-13-acetate,0.99344"	"prostratin,0.98908"	"ingenol,0.98152"	"CD-437,0.98026"	"rhodomyrtoxin-b,0.97737"	"malonoben,0.97485"	"nilotinib,0.9733"	"IKK-2-inhibitor-V,0.97323"	"penfluridol,0.97149"	"AG-879,0.96766"	"AG-592,0.96657"	"cucurbitacin-i,0.96651"	"tosedostat,0.96388"	"niclosamide,0.96388"	"perhexiline,0.96335"	"cercosporin,0.96098"	"LDN-193189,0.96028"	"avicin-g,0.95912"	"BRD-K78385490,0.95894"	"YM-155,0.95866"
TOR1A	"CGP-71683,0.98162"	"NNC-55-0396,0.97358"	"niguldipine,0.97105"	"DL-PDMP,0.96266"	"CGK-733,0.95646"	"thiothixene,0.95497"	"AG-879,0.95157"	"perhexiline,0.94994"	"penfluridol,0.94469"	"RO-28-1675,0.93697"	"mibefradil,0.93483"	"terfenadine,0.93448"	"selamectin,0.93333"	"cyclopiazonic-acid,0.92827"	"DG-041,0.92619"	"FCCP,0.9214"	"BRD-K19624190,0.91896"	"malonoben,0.91214"	"COL-3,0.90922"	"BRD-A06276885,0.90845"
VPS28	"CD-437,0.94681"	"phorbol-12-myristate-13-acetate,0.94025"	"prostratin,0.93164"	"YM-155,0.92964"	"cercosporin,0.9235"	"IKK-2-inhibitor-V,0.91793"	"RS-17053,0.91588"	"MRS-1220,0.91209"	"penfluridol,0.90887"	"reserpine,0.90884"	"selamectin,0.90767"	"ingenol,0.90522"	"niclosamide,0.90169"	"BRD-K28916077,0.90024"	"BRD-K78385490,0.89883"	"niguldipine,0.89869"	"VU-0410183-2,0.89853"	"obatoclax,0.89727"	"BRD-A93942655,0.89077"	"BRD-K06765193,0.88922"
WT1	"CHEMBL-1222381,0.94"	"trichostatin-a,0.93941"	"scriptaid,0.93533"	"WT-171,0.92488"	"givinostat,0.92086"	"trichostatin-a,0.91675"	"belinostat,0.90806"	"NCH-51,0.90337"	"THM-I-94,0.90019"	"vorinostat,0.89651"	"dacinostat,0.89138"	"KM-00927,0.88076"	"HC-toxin,0.8672"	"ISOX,0.86573"	"BRD-K03829970,0.8417"	"merck-ketone,0.83515"	"BRD-K75081836,0.82881"	"BRD-A43155244,0.82193"	"MD-049,0.81982"	"BRD-K00313977,0.79747"
EXT1	"dactinomycin,0.79111"	"staurosporine,0.78633"	"COL-3,0.77546"	"bisindolylmaleimide-ix,0.77279"	"thapsigargin,0.772"	"BRD-K59019422,0.75765"	"KO-143,0.74305"	"oxetane,0.73839"	"loperamide,0.73455"	"BRD-K79222491,0.73086"	"alvocidib,0.72525"	"camptothecin,0.72432"	"daunorubicin,0.71856"	"avicin-g,0.718"	"daunorubicin,0.71067"	"AKT-inhibitor-1-2,0.71058"	"staurosporine,0.70804"	"PHA-793887,0.69571"	"indirubin,0.68547"	"BRD-K85853281,0.68281"
RPA2	"etodolac,0.99002"	"erismodegib,0.96368"	"fluocinolone,0.95669"	"KU-C104137,0.95099"	"genipin,0.94888"	"BRD-K88278225,0.94501"	"pepstatin,0.9427"	"BRD-K33680967,0.94221"	"KU-C104488,0.93361"	"pitavastatin,0.92494"	"rimcazole,0.92247"	"BRD-K35716340,0.92235"	"BRD-K85275009,0.92126"	"BRD-K09299610,0.91572"	"hydrocortisone,0.90779"	"tenofovir,0.90665"	"dipropyl-dopamine,0.90319"	"piribedil,0.90025"	"BRD-K69894866,0.89877"	"benzylpenicillin,0.89428"
LIG1	"teniposide,0.94892"	"idarubicin,0.93331"	"BRD-K19499941,0.93003"	"mitomycin-c,0.92187"	"KUC111774N,0.92075"	"BRD-A58924247,0.91282"	"amsacrine,0.9103"	"SN-38,0.90951"	"irinotecan,0.90764"	"BRD-K92317137,0.90028"	"BRD-K14027855,0.89198"	"cyclosporin-a,0.89083"	"pyrvinium-pamoate,0.88587"	"doxorubicin,0.88439"	"COT-10b,0.8796"	"oxetane,0.8694"	"COL-3,0.86601"	"BRD-K78062244,0.86522"	"BRD-A18411371,0.86166"	"BRD-A18725729,0.86155"
GPR4	"BRD-K78062244,0.84354"	"BRD-K19166598,0.82307"	"BRD-A98444709,0.78931"	"RS-17053,0.73044"	"BRD-K80786583,0.71631"	"BRD-K52163391,0.71601"	"NVP-TAE684,0.70666"	"QL-XII-47,0.70052"	"penfluridol,0.69848"	"forskolin,0.69521"	"tacrolimus,0.69062"	"BRD-K55844427,0.68775"	"puromycin,0.68681"	"GSK-1070916,0.6865"	"BRD-K10361096,0.68513"	"tosedostat,0.68008"	"MG-132,0.67077"	"brefeldin-a,0.67041"	"colforsin,0.66563"	"RO-28-1675,0.65957"
ICAM3	"AS-605240,0.85821"	"erastin,0.78275"	"PD-198306,0.77334"	"PK-11195,0.71972"	"SA-425500,0.71191"	"RS-23597-190,0.70634"	"KIN001-220,0.67512"	"PD-102807,0.67282"	"curcumin,0.67087"	"albendazole,0.67074"	"forskolin,0.65826"	"U0126,0.65027"	"BRD-A61825514,0.64942"	"BRD-K18163752,0.64768"	"niguldipine,0.64405"	"BRD-A09984573,0.63938"	"BRD-A41114263,0.63811"	"pindolol,0.63603"	"atorvastatin,0.63163"	"verapamil,0.63072"
BCL10	"phorbol-12-myristate-13-acetate,0.99815"	"ingenol,0.99663"	"prostratin,0.9964"	"selamectin,0.99246"	"CD-437,0.98645"	"pyrvinium-pamoate,0.97635"	"penfluridol,0.97344"	"tosedostat,0.97083"	"VU-0418947-2,0.96938"	"BRD-K78385490,0.96924"	"salermide,0.9675"	"BRD-K28916077,0.96684"	"niclosamide,0.9653"	"IKK-2-inhibitor-V,0.9651"	"BRD-K77547920,0.96502"	"calmidazolium,0.96324"	"perhexiline,0.96294"	"BRD-K66884694,0.96196"	"cucurbitacin-i,0.96133"	"ursolic-acid,0.95721"
BCL6	"perhexiline,0.94245"	"penfluridol,0.94016"	"YM-155,0.9281"	"MD-II-008-P,0.92532"	"niguldipine,0.91055"	"ispinesib,0.9102"	"IKK-2-inhibitor-V,0.90681"	"EMF-bca1-16,0.90029"	"tetrindole,0.89917"	"COT-10b,0.89764"	"cucurbitacin-i,0.8955"	"pyrrolidine-dithiocarbamate,0.89363"	"BRD-K92317137,0.88785"	"cytochalasin-b,0.87867"	"suloctidil,0.87504"	"BRD-K45205755,0.87172"	"NNC-55-0396,0.86846"	"5-nonyloxytryptamine,0.8681"	"FCCP,0.86518"	"CD-437,0.86453"
BRAF	"oxetane,0.92468"	"importazole,0.9105"	"SSR-69071,0.91019"	"KUC111774N,0.90173"	"avicin-g,0.8939"	"rottlerin,0.88744"	"IKK-16,0.88698"	"VU-0418946-1,0.8838"	"phorbol-12-myristate-13-acetate,0.86842"	"IKK-2-inhibitor-V,0.85432"	"CGK-733,0.8459"	"NSC-3852,0.8375"	"quiflapon,0.82229"	"malonoben,0.8208"	"nilotinib,0.81424"	"cytochalasin-b,0.81047"	"methylene-blue,0.80877"	"AG-879,0.80831"	"amsacrine,0.80789"	"cucurbitacin-i,0.80609"
BRD3	"TG-101348,0.93748"	"importazole,0.89915"	"XMD-1150,0.88978"	"PP-110,0.88603"	"BI-2536,0.87927"	"everolimus,0.87869"	"KU-0060648,0.87144"	"scriptaid,0.85328"	"trichostatin-a,0.8498"	"XMD-892,0.84454"	"JWE-035,0.84008"	"apicidin,0.83126"	"vorinostat,0.82718"	"arachidonyl-trifluoro-methane,0.8259"	"HC-toxin,0.81605"	"panobinostat,0.80034"	"dacinostat,0.79589"	"merck-ketone,0.79098"	"SID-26681509,0.78916"	"avrainvillamide-analog-2,0.78506"
BRD4	"LY-303511,0.91718"	"HC-toxin,0.91415"	"trichostatin-a,0.9096"	"chaetocin,0.88979"	"withaferin-a,0.8884"	"PI-828,0.87535"	"merck-ketone,0.87489"	"linopirdine,0.87016"	"pyroxamide,0.8475"	"piperlongumine,0.8437"	"vorinostat,0.84322"	"MD-049,0.8423"	"BNTX,0.84093"	"dacinostat,0.82979"	"ouabain,0.82899"	"doxorubicin,0.8197"	"pidorubicine,0.81695"	"THM-I-94,0.81574"	"amodiaquine,0.81131"	"trichostatin-a,0.80669"
CDCA4	"pyrimethamine,0.94683"	"PP-1,0.91763"	"hinokitiol,0.88593"	"PP-2,0.88334"	"AS-605240,0.88283"	"cytochalasin-b,0.87945"	"SID-26681509,0.87476"	"selamectin,0.87265"	"piperidolate,0.86915"	"R-96544,0.86873"	"doxorubicin,0.86083"	"clomifene,0.85562"	"fostamatinib,0.85382"	"PP-110,0.85336"	"rilmenidine,0.84845"	"SN-38,0.84552"	"selumetinib,0.83998"	"resveratrol,0.8342"	"U-0126,0.83067"	"tubastatin-a,0.8165"
CSF3	"probucol,0.92919"	"BU-239,0.90783"	"H-8,0.85888"	"BRD-K80786583,0.84306"	"benzylpenicillin,0.81783"	"mefenamic-acid,0.81594"	"tamoxifen,0.81342"	"CGS-12066B,0.80851"	"sirolimus,0.80596"	"BRD-K51683034,0.80512"	"doxepin,0.7955"	"M-3M3FBS,0.78791"	"HG-5-88-01,0.78495"	"testosterone,0.78456"	"BRD-K83493571,0.77564"	"estradiol,0.7746"	"IKK-inhibitor-X,0.76644"	"XAV-939,0.76185"	"BRD-K18163752,0.76032"	"BRD-K18726304,0.76017"
CSK	"wiskostatin,0.85642"	"avicin-g,0.85519"	"PP-110,0.84483"	"SYK-inhibitor,0.8227"	"MK-2206,0.80894"	"7b-cis,0.78661"	"BRD-K78062244,0.77828"	"BRD-A18725729,0.77185"	"piperlongumine,0.76594"	"tretinoin,0.76272"	"PI-103,0.7617"	"BI-78D3,0.75563"	"BMS-536924,0.7538"	"BRD-K26048285,0.74796"	"lovastatin,0.72181"	"pifithrin-mu,0.72028"	"COL-3,0.71978"	"temsirolimus,0.70609"	"oxetane,0.7036"	"BRD-K61718261,0.69487"
CSNK1D	"clofarabine,0.89268"	"7b-cis,0.89071"	"isoflupredone,0.88308"	"pifithrin-mu,0.87325"	"BD-1063,0.86762"	"BRD-K68548958,0.86297"	"BRD-K23282736,0.86266"	"devazepide,0.86143"	"BRD-K66037923,0.85212"	"tenofovir,0.83899"	"BRD-K90826279,0.83037"	"amodiaquine,0.8299"	"mevastatin,0.82534"	"hydrocortisone,0.82094"	"BRD-K04156788,0.81507"	"thiothixene,0.81322"	"CHEMBL-399379,0.81302"	"EI-231,0.81192"	"BRD-K29506255,0.81186"	"BRD-K80346834,0.80792"
CTCFL	"parthenolide,0.95162"	"thiotepa,0.89762"	"isoliquiritigenin,0.87828"	"rilmenidine,0.86911"	"7b-cis,0.86287"	"importazole,0.85533"	"BRD-K00910650,0.85067"	"evodiamine,0.84928"	"BRD-K03829970,0.83332"	"DG-041,0.82532"	"PU-H71,0.8124"	"HSP90-inhibitor,0.8101"	"olaparib,0.80722"	"R-96544,0.80483"	"perhexiline,0.79794"	"BRD-K55487965,0.79767"	"RO-28-1675,0.78946"	"BRD-K92317137,0.78683"	"pifithrin-mu,0.78449"	"BRD-K28100108,0.78386"
DNMT3A	"BRD-K85266146,0.76767"	"reserpine,0.7344"	"fostamatinib,0.71812"	"BRD-K68588778,0.70828"	"decitabine,0.70002"	"dexamethasone,0.69843"	"HG-5-88-01,0.67694"	"BRD-K89224880,0.67348"	"blebbistatin,0.66456"	"sirolimus,0.65987"	"GDC-0879,0.65977"	"ERK-inhibitor-11E,0.6576"	"deforolimus,0.65434"	"ranitidine,0.64715"	"brazilin,0.64481"	"estradiol,0.6427"	"BRD-K90999434,0.64151"	"LY-294002,0.63296"	"crizotinib,0.61767"	"TW-37,0.61507"
DRD1	"BRD-K53638321,0.85976"	"BRD-K99502566,0.85414"	"HG-5-88-01,0.78524"	"BRD-K87387614,0.75205"	"enzalutamide,0.74747"	"RG-108,0.74157"	"BRD-K23841751,0.73607"	"phenolphthalein,0.73109"	"gliquidone,0.71759"	"BRD-K62818989,0.715"	"BRD-K89451433,0.71304"	"BRD-A61825514,0.70466"	"sirolimus,0.67266"	"BRD-K13277629,0.66724"	"BRD-K49010888,0.66628"	"BRD-K86027709,0.65726"	"BRD-K85275009,0.65457"	"resveratrol,0.64857"	"protriptyline,0.64795"	"crizotinib,0.64574"
